golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
KGC - Red & Blue,18,Pakistan,Sindh,Karachi,24.8900966,67.0836776,7,17,15,3,11,1,5,9,13,10,2,14,18,8,6,12,16,4,4,5,3,5,4,4,3,4,4,4,5,4,3,5,4,4,3,4,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red
KGC - Red & Yellow,18,Pakistan,Sindh,Karachi,24.8900966,67.0836776,7,17,15,3,11,1,5,9,13,6,16,14,10,8,2,18,12,4,4,5,3,5,4,4,3,4,4,5,3,4,4,5,4,3,4,4,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red
KGC - Yellow & Blue,18,Pakistan,Sindh,Karachi,24.8900966,67.0836776,6,16,14,10,8,2,18,12,4,9,1,13,17,7,5,11,15,3,5,3,4,4,5,4,3,4,4,4,5,4,3,5,4,4,3,4,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red
Defence Authority CGC,18,Pakistan,Sindh,Karachi,24.7977736,67.0766645,7,11,3,5,17,9,13,1,15,2,16,8,4,12,10,6,18,14,4,4,3,5,4,4,3,5,4,4,4,5,4,3,5,4,3,4,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red
Arabian Sea Country Club,18,Pakistan,Sindh,Karachi,24.8271578,67.3853957,11,17,1,15,13,5,7,3,9,16,8,4,14,6,2,10,18,12,4,3,4,5,3,4,5,4,4,4,5,4,3,5,4,4,3,4,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red
Airmen Golf and Recreation Club,18,Pakistan,Sindh,Karachi,24.7846416,67.1205931,16,18,6,12,10,8,2,14,4,15,13,1,5,3,17,11,9,7,4,3,5,4,4,3,4,4,5,4,4,4,3,5,3,4,4,5,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red
Turkey FootLake Golf Links,18,United States,Ohio,Akron,40.9791351,-81.5351101,17,13,1,9,15,5,3,7,11,16,12,10,6,14,4,8,18,2,4,3,4,5,4,5,5,3,4,4,4,4,3,4,3,5,3,5,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red,Gold|Blue|White|Red
Raintree CC - South Course,18,United States,North Carolina,Charlotte,35.0866604,-80.7894087,9,15,10,18,16,8,13,17,6,5,7,11,4,3,12,2,14,1,4,3,5,5,3,4,5,3,4,4,3,5,4,4,3,4,5,4,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
Raintree CC - North Course,18,United States,North Carolina,Charlotte,35.0866604,-80.7894087,15,4,2,1,18,16,5,11,12,3,8,6,10,7,17,9,14,13,5,4,4,4,3,4,5,4,3,4,5,4,5,3,4,4,3,4,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
Brunswick Plantation - Magnolia-Dogwood,18,United States,North Carolina,Calabash,33.9470091,-78.5784298,3,7,13,17,1,11,15,9,5,12,10,14,18,6,2,8,16,4,4,5,4,3,4,5,3,4,4,4,4,4,3,5,4,3,5,4,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
