golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Maccauvlei Golf Club,18,South Africa,Gauteng,Viljoensdrift,-26.6821983,27.9403434,5,13,17,3,11,7,15,9,1,6,2,10,8,14,12,16,4,18,4,5,4,4,3,4,5,3,4,4,4,4,4,3,5,3,4,5,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red
Brackenridge Golf Course,18,United States,Texas,San Antonio,29.4494347,-98.4793048,17,5,1,13,15,11,9,7,3,8,12,4,10,2,18,6,16,14,4,3,5,4,4,4,4,3,5,3,4,5,5,4,3,4,4,3,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
Eagle Valley Golf Course,18,United States,Indiana,Evansville,38.0754432,-87.5232267,7,11,13,3,1,17,9,15,5,8,16,4,12,14,10,18,6,2,5,4,4,4,4,3,4,3,4,4,3,5,4,3,4,3,4,5,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red
Foxrock Golf Club,18,Ireland,Dublin,Dublin,53.2722903,-6.1864293,9,2,15,17,11,7,5,13,4,10,1,14,3,18,8,6,12,16,4,4,4,5,3,4,4,3,4,4,4,4,4,3,4,4,3,5,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red,White|Green|Red
Leopardstown Golf club,18,Ireland,Dublin,Dublin,53.2662942,-6.191343,13,15,1,11,5,3,17,9,7,6,8,10,16,14,4,18,2,12,3,4,3,4,4,4,4,5,4,4,3,4,3,4,3,4,3,4,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue
Haverdals Golfklubb,18,Sweden,Halland,Haverdal,56.7156384,12.7035535,5,15,13,11,3,17,7,1,9,6,18,14,12,4,16,10,2,8,4,4,5,4,3,5,3,4,4,4,4,4,5,3,5,3,4,4,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red
Halmstad Golf Club - Sodra,18,Sweden,Halland,Halmstad,56.2978539,12.2171809,7,1,5,17,9,11,3,13,15,8,10,4,16,2,18,12,14,6,4,4,4,3,4,4,4,5,3,5,3,4,5,4,3,4,4,5,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold,Black|Brown|White|Gold
Halmstad Golf Club - Norra,18,Sweden,Halland,Halmstad,56.6496461,12.7358588,5,13,11,17,1,9,15,7,3,6,18,2,16,4,14,8,12,10,4,5,4,3,5,4,3,4,4,4,5,4,3,5,4,3,4,4,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red,Black|White|Gold|Blue|Red
Villas of Grand Cypress,18,United States,Florida,Orlando,28.40764,-81.5309475,17,9,11,15,5,7,1,13,3,18,8,12,10,16,2,6,14,4,4,5,4,3,4,5,4,3,4,4,5,3,4,4,5,4,3,4,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White,Gold|Blue|White
ITC Classic Ridge - Canyon,18,India,Haryana,Manesar,28.314248,76.975708,13,15,3,7,17,11,5,1,9,18,2,16,14,10,6,12,4,8,4,3,5,4,3,4,4,4,5,3,5,3,4,4,4,4,5,4,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red,Black|Gold|Blue|White|Red
