golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Kempton Park Golf Course,18,South Africa,Gauteng,Kempton Park,-26.1061721,28.2151278,4,16,8,2,10,6,14,12,18,13,17,11,5,1,3,9,15,7,5,4,4,4,3,4,4,5,3,4,3,5,5,4,4,4,3,4,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red,Black|Blue|Red
Patriots Point Links,18,United States,South Carolina,Charleston,32.7881631,-79.9012345,13,7,15,9,1,3,17,5,11,10,6,18,8,16,14,2,12,4,4,4,3,5,4,5,3,4,4,4,4,4,5,3,4,4,3,5,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red
Charleston National Golf Club,18,United States,South Carolina,Charleston,32.869826,-79.7678854,3,17,5,11,13,15,9,1,7,10,2,12,4,14,8,18,6,16,4,3,4,4,5,4,3,4,5,5,4,5,4,3,4,4,4,3,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold,Black|Green|White|Gold
Vale Da Pinta Pestana Golf Resort,18,Portugal,Lagoa Algarve,Carvoeiro,37.1724434,-8.5848539,12,8,14,6,18,2,4,16,10,9,13,7,1,15,17,5,11,3,4,4,4,5,3,4,3,4,4,3,4,5,4,5,3,4,3,5,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red
Gramacho Pestana Golf Resort,18,Portugal,Lagoa Algarve,Carvoeiro,37.1231108,-8.4899027,4,6,10,16,2,14,12,18,8,9,13,3,15,7,17,1,11,5,4,5,4,3,4,5,3,4,4,3,4,5,4,4,3,4,4,5,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red
Silves Golf Pestana Golf Resort,18,Portugal,Lagoa Algarve,Carvoeiro,37.1722092,-8.4227869,11,7,17,15,9,5,1,3,13,14,12,2,4,16,10,18,8,6,4,4,4,3,5,3,5,4,3,4,4,3,5,3,4,3,5,4,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red
Alto Golf Pestana Golf Resort,18,Portugal,Lagoa Algarve,Carvoeiro,37.129392,-8.565588,15,11,17,3,13,1,7,9,5,4,14,18,10,16,8,2,12,6,3,4,5,4,5,4,3,4,4,4,3,3,5,4,4,5,3,5,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red
Pestana Beloura Golf,18,Portugal,Quinta da Beloura,Sintra,38.772019,-9.364328,3,13,15,11,17,9,1,5,7,4,12,18,10,16,8,2,14,6,5,4,3,4,3,5,4,4,4,5,4,3,4,4,4,5,3,4,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red,White|Gold|Blue|Red
Vila Sol Pestana Golf Resort,18,Portugal,Vilamoura,Algarve,37.0921233,-8.0963595,10,16,6,18,2,14,8,12,4,5,15,7,11,1,13,17,3,9,4,5,4,3,5,3,4,4,4,5,3,4,4,5,4,3,4,4,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red
Sale Golf Club,18,United Kingdom,Cheshire,Sale,53.4247419,-2.2874255,14,2,10,12,4,8,18,16,6,5,15,1,3,17,9,11,13,7,5,4,3,4,4,4,4,4,4,4,3,4,4,3,4,5,3,4,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red
