golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Princes Golf Club - Shores - Dunes,18,United Kingdom,Kent,Sandwich,51.2834685,1.3750118,6,8,18,4,14,2,12,16,10,3,15,11,1,5,9,17,13,7,4,5,3,4,4,4,5,3,5,4,3,5,4,4,5,4,3,4,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red
Princes Golf Club - Dunes - Himalaya,18,United Kingdom,Kent,Sandwich,51.2834685,1.3750118,4,16,14,2,6,10,18,12,8,7,1,15,17,11,3,5,13,9,4,3,5,4,4,5,4,3,4,4,4,3,4,4,5,3,4,4,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red
Princes Golf Club - Himalayas - Shores,18,United Kingdom,Kent,Sandwich,51.2834685,1.3750118,8,2,16,18,12,4,6,14,10,5,7,17,1,13,3,11,15,9,4,4,3,4,4,5,3,4,4,4,5,3,4,4,4,5,3,4,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red,Blue|White|Yellow|Red
Squaw Valley - Apache Links,18,United States,Texas,Glen Rose,32.2573717,-97.7241431,16,12,4,6,10,18,8,14,2,11,5,13,15,17,1,7,3,9,4,3,4,4,5,3,4,5,4,3,4,5,4,3,4,4,4,5,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black
Squaw Valley - Comanche Lakes,18,United States,Texas,Glen Rose,32.2573717,-97.7241431,5,7,15,17,3,9,13,11,1,16,14,2,12,18,4,6,8,10,4,5,3,4,4,5,3,4,4,4,3,4,3,5,4,4,4,5,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black,Gold|Blue|White|Black
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
