golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Albert Park Public Golf Course,18,Australia,Victoria,Melbourne,,,5,18,9,3,1,13,17,15,16,6,8,11,4,12,2,14,10,7,4,3,4,4,4,5,5,3,5,3,5,3,4,4,3,4,4,5,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red
Lakeside Golf Club,18,Australia,Victoria,Melbourne,,,8,18,11,6,3,15,2,17,1,10,13,9,4,14,5,16,12,7,4,3,4,4,4,5,4,3,4,3,5,3,4,4,3,4,4,5,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red
Melbourne Airport Golf Club,18,Australia,Victoria,Melbourne,,,18,9,15,17,4,2,12,13,8,5,11,1,6,3,16,14,7,10,4,4,4,5,3,4,3,5,4,3,4,4,4,4,3,5,4,3,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue,White|Yellow|Blue
Araluen Country Club,18,Australia,Western Australia,Perth,,,9,15,2,18,5,3,13,7,11,17,16,12,4,8,10,14,6,1,5,4,4,3,4,4,3,5,4,4,5,3,4,4,4,3,5,4,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red,Blue|White|Red
Cottesloe Golf Club,18,Australia,Western Australia,Perth,,,17,10,2,15,12,5,9,16,7,4,8,3,13,14,6,18,11,1,4,3,4,5,3,4,4,5,4,4,3,4,5,4,4,4,5,4,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red
Joondalup Country Club - Lake & Dune Tours,18,Australia,Western Australia,Perth,,,4,18,12,16,8,14,2,6,10,1,7,5,9,11,3,17,15,13,4,4,3,5,4,4,4,3,5,4,4,4,3,5,4,3,4,5,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red
Joondalup Country Club - Lake & Quarry Tours,18,Australia,Western Australia,Perth,,,3,17,11,15,7,13,1,5,9,2,4,18,12,10,6,14,16,8,4,4,3,5,4,4,4,3,4,4,4,3,5,4,4,3,5,4,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red,White|Blue|Red
Joondalup Country Club - Quarry & Dune Tours,18,Australia,Western Australia,Perth,,,2,4,18,14,10,12,8,16,6,1,7,5,9,11,3,17,15,13,4,4,3,5,4,4,3,5,4,4,4,4,3,5,4,3,4,5,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red
Lake Karrinyup Country Club,18,Australia,Western Australia,Perth,,,18,3,12,5,16,1,11,8,9,13,10,17,6,14,15,4,7,2,4,4,5,4,3,4,5,3,4,4,5,3,4,4,5,4,3,4,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue
Lake Karrinyup Country Club - Championship,18,Australia,Western Australia,Perth,,,18,1,13,6,15,3,11,9,8,12,10,17,7,16,14,4,5,2,4,4,5,4,3,4,5,3,4,4,5,3,4,4,5,4,3,4,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red,White|Red
Marri Park Golf Course,18,Australia,Western Australia,Perth,,,8,4,10,16,14,12,2,18,6,3,1,7,17,13,5,11,15,9,5,4,4,3,4,4,4,3,5,4,4,5,4,3,4,5,3,4,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red,Blue|Yellow|Red
